zipcode,city,county,ziptype
75491,Whitewright,Grayson,Standard
75492,Windom,Fannin,Standard
75493,Winfield,Titus,Box
75494,Winnsboro,Wood,Standard
75495,Alstyne,Grayson,Standard
75496,City,Hunt,Standard
75497,Yantis,Wood,Standard
75501,Texarkana,Bowie,Standard
75503,Texarkana,Bowie,Standard
75504,Texarkana,Bowie,Box
75505,Texarkana,Bowie,Box
75507,Texarkana,Bowie,Unique
75550,Annona,River,Standard
75551,Atlanta,Cass,Standard
75554,Avery,River,Standard
75555,Bivins,Cass,Standard
75556,Bloomburg,Cass,Standard
75558,Cookville,Titus,Standard
75559,Kalb,Bowie,Standard
75560,Douglassville,Cass,Standard
75561,Hooks,Bowie,Standard
75562,Kildare,Cass,Box
75563,Linden,Cass,Standard
75564,Lodi,Marion,Box
75565,Leod,Cass,Box
75566,Marietta,Cass,Standard
75567,Maud,Bowie,Standard
75568,Naples,Morris,Standard
75569,Nash,Bowie,Standard
75570,Boston,Bowie,Standard
75571,Omaha,Morris,Standard
75572,City,Cass,Standard
75573,Redwater,Bowie,Box
75574,Simms,Bowie,Standard
75599,Texarkana,Bowie,Unique
75601,Longview,Gregg,Standard
75602,Longview,Gregg,Standard
75603,Longview,Gregg,Standard
75604,Longview,Gregg,Standard
75605,Longview,Gregg,Standard
75606,Longview,Gregg,Box
75607,Longview,Gregg,Box
75608,Longview,Gregg,Box
75615,Longview,Gregg,Box
75630,Avinger,Cass,Standard
75631,Beckville,Panola,Standard
75633,Carthage,Panola,Standard
75636,Cason,Morris,Box
75637,Clayton,Panola,Box
75638,Daingerfield,Morris,Standard
75639,Berry,Panola,Standard
75640,Diana,Upshur,Standard
75641,Easton,Gregg,Box
75642,Fields,Harrison,Box
75643,Gary,Panola,Standard
75644,Gilmer,Upshur,Standard
75645,Gilmer,Upshur,Standard
75647,Gladewater,Gregg,Standard
75650,Hallsville,Harrison,Standard
75651,Harleton,Harrison,Standard
75652,Henderson,Rusk,Standard
75653,Henderson,Rusk,Box
75654,Henderson,Rusk,Standard
75656,Springs,Cass,Standard
75657,Jefferson,Marion,Standard
75658,Joinerville,Rusk,Box
75659,Jonesville,Harrison,Box
75660,Judson,Gregg,Box
75661,Karnack,Harrison,Standard
75662,Kilgore,Gregg,Standard
75663,Kilgore,Gregg,Box
75666,Hill,Rusk,Box
75667,Laneville,Rusk,Standard
75668,Star,Morris,Standard
75669,Branch,Panola,Standard
75670,Marshall,Harrison,Standard
75671,Marshall,Harrison,Box
75672,Marshall,Harrison,Standard
75680,Minden,Rusk,Box
75681,Enterprise,Rusk,Standard
75682,London,Rusk,Box
75683,City,Upshur,Standard
75684,Overton,Rusk,Standard
75685,Panola,Panola,Box
75686,Pittsburg,Camp,Standard
75687,Price,Rusk,Box
75688,Scottsville,Harrison,Box
75689,City,Rusk,Box
75691,Tatum,Rusk,Standard
75692,Waskom,Harrison,Standard
75693,Oak,Gregg,Standard
75694,Woodlawn,Harrison,Box
75701,Tyler,Smith,Standard
75702,Tyler,Smith,Standard
75703,Tyler,Smith,Standard
75704,Tyler,Smith,Standard
75705,Tyler,Smith,Standard
